publisher.publisher_name,publisher.place_of_publication,publication_type,country_of_publication,language,contributor.name,contributor.role,title,idno,idno.type,subject,publishing_work_items.value,publishing_work_items.type,publishing_work_items.unit,label
b'',b'',b'1',b'',b'ENG',"b'Mosekilde, Leif Vestergaard, Peter Langdahl, Bente'",b'1 1 1',b'Fracture prevention in postmenopausal women',b'16973058 16973058',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Morris, Andrew'",b'1',b'Cellulitis and erysipelas',b'16973085 16973085',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Morris, Andrew'",b'1',b'Cellulitis and erysipelas',b'16973085 16973085',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Binder, Allan'",b'1',b'Neck pain',b'16973064 16973064',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Binder, Allan'",b'1',b'Neck pain',b'16973064 16973064',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Roy, Praveen Last, Reuben'",b'1 1',b'Colorectal cancer',b'16973030 16973030',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Roy, Praveen Last, Reuben'",b'1 1',b'Colorectal cancer',b'16973030 16973030',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Biyani, Chandra Cartledge, John Janetschek, G\xc3\xbcnter'",b'1 1 1',b'Varicocele',b'16973052 16973052',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Biyani, Chandra Cartledge, John Janetschek, G\xc3\xbcnter'",b'1 1 1',b'Varicocele',b'16973052 16973052',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Buck, Henry W'",b'1',b'Genital warts',b'16973081 16973081',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Buck, Henry W'",b'1',b'Genital warts',b'16973081 16973081',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Wark, Peter'",b'1',b'Bronchitis (acute)',b'16973074 16973074',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Wark, Peter'",b'1',b'Bronchitis (acute)',b'16973074 16973074',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Wade, Sally'",b'1',b'Infantile colic',b'16973017 16973017',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Wade, Sally'",b'1',b'Infantile colic',b'16973017 16973017',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Kerfoot, Karlene'",b'1',"b'Megatrends, the annual report, possibilities'",b'17390936 17390936',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Kerfoot, Karlene'",b'1',"b'Megatrends, the annual report, possibilities'",b'17390936 17390936',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Chouinard, Michael M'",b'1',"b""Children's questions: a mechanism for cognitive development""",b'10.1111/J.1540-5834.2007.00412.X 17394580 17394580',b'DOI PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Chouinard, Michael M'",b'1',"b""Children's questions: a mechanism for cognitive development""",b'10.1111/J.1540-5834.2007.00412.X 17394580 17394580',b'DOI PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Karunatilake, Harindra Elliott Pidcock, Michael'",b'1 1',b'Multiple autoimmune phenomena preceding a lymphoproliferative disorder',b'18020031 18020031',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Karunatilake, Harindra Elliott Pidcock, Michael'",b'1 1',b'Multiple autoimmune phenomena preceding a lymphoproliferative disorder',b'18020031 18020031',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'Royal Society of Chemistry',b'',b'1',b'',b'ENG',"b'Bosch-Navarro, C. Coronado, E. Marti-Gastaldo, C. Sanchez-Royo, J. F. Gomez, M.'",b'1 1 1 1 1',b'Influence of the pH on the synthesis of reduced graphene oxide under hydrothermal conditions',b'RN313925070',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Bosch-Navarro, Concha Coronado, Eugenio Mart\xc3\xad-Gastaldo, Carlos S\xc3\xa1nchez-Royo, J F G\xc3\xb3mez, Maribel G\xc3\xb3mez'",b'1 1 1 1 1',b'Influence of the pH on the synthesis of reduced graphene oxide under hydrothermal conditions',b'10.1039/C2NR30605K 22653666 22653666',b'DOI PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'ACS American Chemical Society',b'',b'1',b'',b'ENG',"b'Buck, E. C. McNamara, B. K.'",b'1 1',b'Precipitation of Nitrate-Cancrinite in Hanford Tank Sludge',b'RN154963800',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'XXX',"b'Buck, Edgar C. McNamara, Bruce K.'",b'1 1',b'Precipitation of Nitrate-Cancrinite in Hanford Tank Sludge',b'HTTP://DX.DOI.ORG/10.1021/ES034943I 15011375',b'DOI PII',b'',b'',b'',b'',FORCE_MATCH
b'Mineralogical Society of America',b'',b'1',b'',b'ENG',"b'Santillan, J. Williams, Q.'",b'1 1',b'A high pressure X-ray diffraction study of aragonite and the post-aragonite phase transition in CaCO~3',b'RN155005293',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'XXX',"b'Santillan, J. Williams, Q.'",b'1 1',b'A high pressure x-ray diffraction study of aragonite and the post-aragonite phase transition in CaCo(3)',b'881209',b'PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Dans, Leonila Mart\xc3\xadnez, Elizabeth'",b'1 1',b'Amoebic dysentery',b'16973041 16973041',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Dans, Leonila Mart\xc3\xadnez, Elizabeth'",b'1 1',b'Amoebic dysentery',b'16973041 16973041',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Barnes, Nick Millman, Guy James, Elizabeth'",b'1 1 1',b'Migraine headache in children',b'16973019 16973019',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Barnes, Nick Millman, Guy James, Elizabeth'",b'1 1 1',b'Migraine headache in children',b'16973019 16973019',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Wakai, Abel'",b'1',b'Spontaneous pneumothorax',b'16973077 16973077',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Wakai, Abel'",b'1',b'Spontaneous pneumothorax',b'16973077 16973077',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Hall, Yoshio N Chertow, Glenn M'",b'1 1',b'End stage renal disease',b'16973047 16973047',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Hall, Yoshio N Chertow, Glenn M'",b'1 1',b'End stage renal disease',b'16973047 16973047',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Howard, Louise'",b'1',b'Postnatal depression',b'16973070 16973070',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Howard, Louise'",b'1',b'Postnatal depression',b'16973070 16973070',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Koes, Bart van Tulder, Maurits'",b'1 1',b'Low back pain (acute)',b'16973062 16973062',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Koes, Bart van Tulder, Maurits'",b'1 1',b'Low back pain (acute)',b'16973062 16973062',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Norris, Suzanne Siddiqi, Kamran Mohsen, Abdul'",b'1 1 1',b'Hepatitis B (prevention)',b'16973043 16973043',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Norris, Suzanne Siddiqi, Kamran Mohsen, Abdul'",b'1 1 1',b'Hepatitis B (prevention)',b'16973043 16973043',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Omari, Aika Garner, Paul'",b'1 1',"b'Malaria: severe, life threatening'",b'16973046 16973046',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Omari, Aika Garner, Paul'",b'1 1',"b'Malaria: severe, life threatening'",b'16973046 16973046',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Bailey, Charles'",b'1',b'Stomach cancer',b'16973033 16973033',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Bailey, Charles'",b'1',b'Stomach cancer',b'16973033 16973033',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Struijs, Peter Kerkhoffs, Gino'",b'1 1',b'Ankle sprain',b'16973056 16973056',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Struijs, Peter Kerkhoffs, Gino'",b'1 1',b'Ankle sprain',b'16973056 16973056',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Rodger, Alan Stebbing, Justin Thompson, Alistair M'",b'1 1 1',b'Breast cancer (non-metastatic)',b'16973090 16973090',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Rodger, Alan Stebbing, Justin Thompson, Alistair M'",b'1 1 1',b'Breast cancer (non-metastatic)',b'16973090 16973090',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Williamson, Ian'",b'1',b'Otitis media with effusion',b'16973035 16973035',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Williamson, Ian'",b'1',b'Otitis media with effusion',b'16973035 16973035',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Low, Nicola'",b'1',"b'Chlamydia (uncomplicated, genital)'",b'16973080 16973080',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Low, Nicola'",b'1',"b'Chlamydia (uncomplicated, genital)'",b'16973080 16973080',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Sigal, Ronald Malcolm, Janine Arnaout, Amel'",b'1 1 1',b'Prevention of cardiovascular events in diabetes',b'16973029 16973029',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Sigal, Ronald Malcolm, Janine Arnaout, Amel'",b'1 1 1',b'Prevention of cardiovascular events in diabetes',b'16973029 16973029',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Hunt, Dereck'",b'1',b'Foot ulcers and amputations in diabetes',b'16973027 16973027',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Hunt, Dereck'",b'1',b'Foot ulcers and amputations in diabetes',b'16973027 16973027',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Arroll, Bruce'",b'1',b'Common cold',b'16973075 16973075',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Arroll, Bruce'",b'1',b'Common cold',b'16973075 16973075',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'McGuire, William'",b'1',b'Perinatal asphyxia',b'16973024 16973024',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'McGuire, William'",b'1',b'Perinatal asphyxia',b'16973024 16973024',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Proctor, Michelle L Farquhar, Cynthia M'",b'1 1',b'Dysmenorrhoea',b'16973091 16973091',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Proctor, Michelle L Farquhar, Cynthia M'",b'1 1',b'Dysmenorrhoea',b'16973091 16973091',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Sen, Ayan'",b'1',b'Recurrent cystitis in non-pregnant women',b'16973094 16973094',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Sen, Ayan'",b'1',b'Recurrent cystitis in non-pregnant women',b'16973094 16973094',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Pritchard, Deborah'",b'1',b'Attention deficit hyperactivity disorder in children',b'16973014 16973014',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Pritchard, Deborah'",b'1',b'Attention deficit hyperactivity disorder in children',b'16973014 16973014',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Bellamy, Richard'",b'1',b'Pneumocystis pneumonia in people with HIV',b'16973040 16973040',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Bellamy, Richard'",b'1',b'Pneumocystis pneumonia in people with HIV',b'16973040 16973040',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Naldi, Luigi Rzany, Berthold'",b'1 1',b'Chronic plaque psoriasis',b'16973087 16973087',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Naldi, Luigi Rzany, Berthold'",b'1 1',b'Chronic plaque psoriasis',b'16973087 16973087',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Tisi, Paul'",b'1',b'Varicose veins',b'16973012 16973012',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Tisi, Paul'",b'1',b'Varicose veins',b'16973012 16973012',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Pankhurst, Caroline L'",b'1',b'Candidiasis (oropharyngeal)',b'16973067 16973067',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Pankhurst, Caroline L'",b'1',b'Candidiasis (oropharyngeal)',b'16973067 16973067',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Stebbing, Justin Crane, Jeremy Gaya, Andy'",b'1 1 1',b'Breast cancer (metastatic)',b'16973089 16973089',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Stebbing, Justin Crane, Jeremy Gaya, Andy'",b'1 1 1',b'Breast cancer (metastatic)',b'16973089 16973089',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'McGarry, Gerald'",b'1',b'Nosebleeds in children',b'16973022 16973022',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'McGarry, Gerald'",b'1',b'Nosebleeds in children',b'16973022 16973022',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Warburton, Elizabeth'",b'1',b'Stroke management',b'16973011 16973011',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Warburton, Elizabeth'",b'1',b'Stroke management',b'16973011 16973011',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'van Tulder, Maurits Koes, Bart'",b'1 1',b'Low back pain (chronic)',b'16973063 16973063',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'van Tulder, Maurits Koes, Bart'",b'1 1',b'Low back pain (chronic)',b'16973063 16973063',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Kellum, John Leblanc, Martine Venkataraman, Ramesh'",b'1 1 1',b'Renal failure (acute)',b'16973048 16973048',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Kellum, John Leblanc, Martine Venkataraman, Ramesh'",b'1 1 1',b'Renal failure (acute)',b'16973048 16973048',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Makari, John Rushton, H Gil'",b'1 1',b'Nocturnal enuresis in children',b'16973021 16973021',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Makari, John Rushton, H Gil'",b'1 1',b'Nocturnal enuresis in children',b'16973021 16973021',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'ten Hacken, Nick Kerstjens, Huib Postma, Dirkje'",b'1 1 1',b'Bronchiectasis',b'16973078 16973078',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'ten Hacken, Nick Kerstjens, Huib Postma, Dirkje'",b'1 1 1',b'Bronchiectasis',b'16973078 16973078',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Esposito, Marco'",b'1',b'Impacted wisdom teeth',b'16973068 16973068',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Esposito, Marco'",b'1',b'Impacted wisdom teeth',b'16973068 16973068',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Campbell, Amaryllis'",b'1',b'Glycaemic control in type 1 diabetes',b'16973028 16973028',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Campbell, Amaryllis'",b'1',b'Glycaemic control in type 1 diabetes',b'16973028 16973028',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Nelson, E Andrea Cullum, Nicky Jones, June'",b'1 1 1',b'Venous leg ulcers',b'16973096 16973096',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Nelson, E Andrea Cullum, Nicky Jones, June'",b'1 1 1',b'Venous leg ulcers',b'16973096 16973096',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Barker, Nigel H'",b'1',b'Ocular herpes simplex',b'16973038 16973038',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Barker, Nigel H'",b'1',b'Ocular herpes simplex',b'16973038 16973038',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Erickson, Bradley A Jang, Thomas L Ching, Christina Schaeffer, Anthony J'",b'1 1 1 1',b'Chronic prostatitis',b'16973051 16973051',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Erickson, Bradley A Jang, Thomas L Ching, Christina Schaeffer, Anthony J'",b'1 1 1 1',b'Chronic prostatitis',b'16973051 16973051',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Kettle, Chris'",b'1',b'Perineal care',b'16973069 16973069',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Kettle, Chris'",b'1',b'Perineal care',b'16973069 16973069',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Ferrari, Jill'",b'1',b'Bunions',b'16973057 16973057',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Ferrari, Jill'",b'1',b'Bunions',b'16973057 16973057',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Copson, Ellen'",b'1',"b""Non-Hodgkin's lymphoma (diffuse large B cell lymphoma)""",b'16973004 16973004',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Copson, Ellen'",b'1',"b""Non-Hodgkin's lymphoma (diffuse large B cell lymphoma)""",b'16973004 16973004',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Hazell, Philip'",b'1',b'Depression in children and adolescents',b'16973015 16973015',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Hazell, Philip'",b'1',b'Depression in children and adolescents',b'16973015 16973015',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'de Bruyn, Guy'",b'1',b'Diarrhoea in adults (acute)',b'16973042 16973042',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'de Bruyn, Guy'",b'1',b'Diarrhoea in adults (acute)',b'16973042 16973042',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Meremikwu, Martin'",b'1',b'Sickle cell disease',b'16973005 16973005',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Meremikwu, Martin'",b'1',b'Sickle cell disease',b'16973005 16973005',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Haas, David M'",b'1',b'Preterm birth',b'16973072 16973072',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Haas, David M'",b'1',b'Preterm birth',b'16973072 16973072',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Harding, Simon'",b'1',b'Diabetic retinopathy',b'16973037 16973037',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Harding, Simon'",b'1',b'Diabetic retinopathy',b'16973037 16973037',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Young, Gavin'",b'1',b'Leg cramps',b'16973061 16973061',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Young, Gavin'",b'1',b'Leg cramps',b'16973061 16973061',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'Springer Sciemce + Business Media',b'',b'1',b'',b'ENG',"b'Safriel, Y. Ang, R. Ali, M.'",b'1 1 1',b'Gadolinium Use in Spine Pain Management Procedures for Patients with Contrast Allergies: Results in 527 Procedures',b'RN225886233',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Safriel, Yair Ang, Roberto Ali, Muhammed'",b'1 1 1',b'Gadolinium use in spine pain management procedures for patients with contrast allergies: results in 527 procedures',b'10.1007/S00270-007-9192-5 17939000 17939000',b'DOI PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'ACS American Chemical Society',b'',b'1',b'',b'ENG',"b'Hernandez, H.H. Jaquez, O.A. Hamill, M.J. Elliott, S.J. Drennan, C.L.'",b'1 1 1 1 1',b'Thioredoxin Reductase from Thermoplasma acidophilum: A New Twist on Redox Regulation',b'RN236466941',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'XXX',"b'Hernandez, H.H. Jaquez, O.A. Hamill, M.J. Elliott, S.J. Drennan, C.L.'",b'1 1 1 1 1',b'Thioredoxin Reductase From Thermoplasma Acidophilum: a New Twist on Redox Regulation',b'953120',b'PII',b'',b'',b'',b'',FORCE_MATCH
b'AIP American Institute of Physics',b'',b'1',b'',b'ENG',"b'Garvey, G.T.'",b'1',b'Message of a (Proud) Mentor',b'RN225508770',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'XXX',"b'Garvey, Gerald T.'",b'1',b'Message of a (Proud) Mentor',b'10.1063/1.2870358 21052875',b'DOI PII',b'',b'',b'',b'',FORCE_MATCH
b'Elsevier Science BV Amsterdam.',b'',b'1',b'',b'ENG',"b'Deng, X. Quek, S. Y. Biener, M. M. Biener, J. Kang, D. H. Schalek, R. Kaxiras, E. Friend, C. M.'",b'1 1 1 1 1 1 1 1',b'Selective thermal reduction of single-layer MoO3 nanostructures on Au(111)',b'RN225580921',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'XXX',"b'Deng, X Quek, S Biener, M Biener, J Kang, D Schalek, R Kaxiras, E Firend, C'",b'1 1 1 1 1 1 1 1',b'Selective Thermal Reduction of Single-layer MoO3 nanostructures on Au(111)',b'944355',b'PII',b'',b'',b'',b'',FORCE_MATCH
b'ACS American Chemical Society',b'',b'1',b'',b'ENG',"b'Tao, Y. Ma, B. Segalman, R.A.'",b'1 1 1',b'Self-Assembly of Rod-Coil Block Copolymers and Their Application in Electroluminescent Devices',b'RN237875496',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'XXX',"b'Tao, Y. Ma, B. Segalman, R.A.'",b'1 1 1',b'Self-Assembly of Rod-Coil Block Copolymers And Their Application in Electroluminescent Devices',b'953584',b'PII',b'',b'',b'',b'',FORCE_MATCH
b'Geschaeftsfuehrung Der Deutscher Aerzte-Verlag GMBH',b'',b'1',b'',b'GER',"b'Imhoff-Hasse, S.'",b'1',b'Multinationale nicht kommerzielle Studien: Kritik an uneinheitlichen Anforderungen',b'RN231480801',b'BLID',b'',b'',b'',b'',FORCE_MATCH
b'Deutscher Arzte-Verlag GmbH',b'',b'1',b'',b'GER',"b'Imhoff-Hasse, Susanne'",b'1',b'Multinationale nicht kommerzielle studien: Kritik an uneinheitlichen anforderungen Multinational non-commercial studies: Criticism on inconsistent requirements',b'',b'',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'ENG',"b'Singh, Chungkham Holendro Ladusingh, Laishram'",b'1 1',b'Household use of inpatient healthcare services in India',b'20039593 20039593',b'PMID PII',b'',b'',b'',b'',FORCE_MATCH
b'',b'',b'1',b'',b'',"b'Singh, Chungkham Ladusingh, Laishram'",b'1 1',b'Household Use of Inpatient Healthcare Services in India http://www.longwoods.com/content/20951',b'10.12927/WHP.2009.20951',b'DOI',b'',b'',b'',b'',FORCE_MATCH
